"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"40",39,"Massachusetts Institute of Technology (Physics)","2","12","3","26","29","94","119","145","1","4"
"41",40,"Michigan State U. (Physics)","13","56","17","82","21","94","72","117","17","41"
"42",41,"Michigan Technological U. (Physics)","99","146","115","155","46","123","24","80","97","147"
"43",42,"Montana State U. at Bozeman (Physics)","107","150","66","139","152","158","76","124","65","133"
"44",43,"New Jersey Institute of Technology (Applied Physics)","90","142","108","154","19","141","11","43","101","149"
"45",44,"New Mexico State U. at Las Cruces (Physics)","34","103","16","90","79","141","155","160","69","139"
"46",45,"New York U. (Physics)","48","105","42","111","19","113","48","103","74","124"
"47",46,"North Carolina State U. (Physics)","69","134","61","132","57","132","87","123","38","86"
"48",47,"Northeastern U. (Physics)","37","112","24","106","22","91","146","155","38","99"
"49",48,"Northern Illinois U. (Physics)","95","147","32","111","85","137","121","144","117","154"
"50",49,"Northwestern U. (Physics and Astronomy)","30","93","23","102","56","128","23","71","36","83"
"51",50,"Ohio State U. Main Campus (Chemical Physics)","93","145","63","134","149","159","3","22","81","136"
"52",51,"Ohio State U. Main Campus (Physics)","21","65","13","68","104","149","119","144","14","33"
"53",52,"Ohio U. Main Campus (Physics and Astronomy)","36","98","43","120","5","41","2","17","49","130"
"54",53,"Oklahoma State U. Main Campus (Photonics)","101","148","100","149","64","137","19","61","106","148"
"55",54,"Oklahoma State U. Main Campus (Physics)","116","149","124","156","5","62","98","133","95","152"
"56",55,"Old Dominion U. (Physics)","92","138","52","118","124","155","14","57","108","150"
"57",56,"Oregon State U. (Physics)","143","157","139","159","127","155","152","158","70","131"
"58",57,"Pennsylvania State U. (Physics)","4","21","7","50","6","44","65","110","10","29"
"59",58,"Princeton U. (Physics)","1","6","1","11","3","25","113","144","4","13"
"60",59,"Princeton U. (Plasma Physics)","15","60","12","75","21","104","136","151","13","46"
"61",60,"Purdue U. Main Campus (Physics)","45","100","37","111","132","153","17","66","28","60"
"62",61,"Rensselaer Polytechnic Institute (Physics)","26","85","31","107","10","80","21","58","44","99"
