"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"26",25,"Georgia Institute of Technology (Mechanical Engineering)","9","28","16","58","34","71","80","112","4","23"
"27",26,"Illinois Institute of Technology (Mechanical &amp; Aerospace Engineering)","95","118","64","114","99","118","50","107","94","122"
"28",27,"Iowa State U. (Mechanical Engineering)","59","103","52","112","107","117","51","103","65","106"
"29",28,"Johns Hopkins U. (Mechanical Engineering)","7","20","3","16","54","93","75","110","15","59"
"30",29,"Kansas State U. (Mechanical Engineering)","62","105","54","116","65","99","18","45","65","101"
"31",30,"Lehigh U. (Mechanical Engineering and Mechanics)","79","110","73","115","19","71","48","98","44","90"
"32",31,"Louisiana State U. at Baton Rouge (Mechanical Engineering)","28","73","20","71","59","91","15","37","84","114"
"33",32,"Marquette U. (Mechanical Engineering)","122","126","122","127","10","70","43","88","107","126"
"34",33,"Massachusetts Institute of Technology (Mechanical Engineering)","5","14","7","27","44","88","65","105","1","2"
"35",34,"Michigan State U. (Mechanical Engineering)","38","75","47","106","11","41","20","44","27","79"
"36",35,"Michigan Technological U. (Mechanical Engineering - Engineering Mechanics)","73","110","74","119","31","72","58","107","56","101"
"37",36,"Mississippi State U. (Mechanical Engineering (degree: Ph.D. in Engineering))","27","66","26","84","2","5","114","123","17","56"
"38",37,"New Jersey Institute of Technology (Mechanical Engineering)","76","105","80","116","30","88","33","84","66","102"
"39",38,"New Mexico State U. at Las Cruces (Mechanical Engineering)","97","118","96","123","68","100","105","119","44","83"
"40",39,"North Carolina State U. (Mechanical Engineering)","37","84","31","87","12","76","32","67","26","71"
"41",40,"Northeastern U. (Mechanical &amp; Industrial Engineering - Industrial)","68","97","64","105","56","91","6","20","28","81"
"42",41,"Northwestern U. (Mechanical Engineering)","2","5","2","7","5","27","41","85","5","20"
"43",42,"Ohio State U. Main Campus (Mechanical Engineering)","24","59","20","62","97","116","48","98","15","54"
"44",43,"Oklahoma State U. Main Campus (Mechanical Engineering)","84","112","73","115","13","59","88","119","80","112"
"45",44,"Old Dominion U. (Mechanical Engineering)","113","125","95","125","96","115","39","79","40","87"
"46",45,"Oregon State U. (Mechanical Engineering)","99","121","76","120","118","126","102","119","48","100"
"47",46,"Pennsylvania State U. (Acoustics)","45","94","39","107","53","85","54","109","35","76"
"48",47,"Pennsylvania State U. (Mechanical Engineering)","17","47","27","80","6","32","89","116","8","32"
"49",48,"Princeton U. (Mechanical and Aerospace Engineering)","4","11","3","16","3","17","21","45","8","44"
"50",49,"Purdue U. Main Campus (Mechanical Engineering)","15","41","19","68","44","78","43","90","5","31"
