"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"21",20,"Georgia State U. (Biology-Molecular Genetics &amp; Biochemistry)","81","146","54","143","89","141","3","8","151","159"
"22",21,"Harvard U. (Biophysics)","2","23","6","53","32","111","146","155","5","15"
"23",22,"Harvard U. (Molecular and Cellular Biology)","2","17","6","50","6","52","69","117","2","10"
"24",23,"Howard U. (Biochemistry)","143","156","158","159","44","140","1","1","121","159"
"25",24,"Indiana U. at Bloomington (Vision Science)","98","154","91","150","89","156","23","74","106","151"
"26",25,"Indiana U.-Purdue U. Indianapolis (Biochemistry)","103","146","72","134","105","150","22","73","73","141"
"27",26,"Indiana U.-Purdue U. Indianapolis (Medical Biophysics)","138","159","86","148","154","158","17","87","142","159"
"28",27,"Iowa State U. (Biochemistry)","54","120","57","132","29","92","98","138","63","102"
"29",28,"Johns Hopkins U. (Biochemistry and Molecular Biology)","38","113","50","138","5","75","22","75","65","120"
"30",29,"Johns Hopkins U. (Biological Chemistry)","13","52","13","65","19","96","44","97","22","47"
"31",30,"Johns Hopkins U. (Molecular and Computational Biophysics)","20","73","26","113","23","98","61","105","22","50"
"32",31,"Kansas State U. (Biochemistry)","28","86","51","138","3","45","74","124","59","122"
"33",32,"Kent State U. Main Campus (Biomedical Sciences - Cell/Molecular Biology)","23","102","29","126","29","127","3","7","93","158"
"34",33,"Loma Linda U. (Biochemistry)","157","159","157","158","106","153","8","20","145","159"
"35",34,"Louisiana State U. at Baton Rouge (Biochemistry)","58","127","88","146","1","29","59","103","72","138"
"36",35,"Loyola U. Chicago (Molecular Biology)","49","126","38","128","11","101","14","43","83","132"
"37",36,"Loyola U. Chicago (Molecular and Cellular Biochemistry)","65","142","55","137","1","89","22","70","117","155"
"38",37,"Massachusetts Institute of Technology (Biology/Biochemistry and Biophysics)","1","4","1","7","1","41","93","132","1","8"
"39",38,"Michigan State U. (Biochemistry &amp; Molecular Biology)","36","100","38","120","14","88","83","122","54","96"
"40",39,"Mississippi State U. (Molecular Biology)","149","158","153","158","45","138","130","152","99","145"
"41",40,"Montana State U. at Bozeman (Biochemistry)","95","152","20","106","150","158","61","117","88","146"
"42",41,"North Carolina State U. (Biochemistry)","100","149","97","150","81","149","58","107","105","143"
"43",42,"North Dakota State U. Main Campus (Cellular and Molecular Biology)","87","149","79","148","2","56","145","156","97","152"
"44",43,"Ohio State U. Main Campus (Biochemistry Program (Ohio State))","38","107","57","135","46","116","12","34","37","87"
"45",44,"Ohio State U. Main Campus (Biophysics)","63","132","48","129","145","154","12","35","66","122"
"46",45,"Ohio U. Main Campus (Biological Sciences)","127","154","139","156","10","91","90","129","104","147"
"47",46,"Oklahoma State U. Main Campus (Biochemistry &amp; Molecular Biology)","112","151","126","153","28","132","3","7","116","153"
"48",47,"Old Dominion U. (Biomedical Sciences)","150","159","113","152","159","159","14","41","116","157"
"49",48,"Oregon Health and Science U. (Biochemistry and Molecular Biology-Medicine)","36","116","27","116","101","150","130","151","41","86"
"50",49,"Oregon Health and Science U. (Biochemistry and Molecular Biology-OGI)","57","135","35","130","74","143","40","90","97","142"
"51",50,"Oregon State U. (Biochemistry and Biophysics)","90","145","62","133","88","148","151","157","62","104"
"52",51,"Pennsylvania State U. (Biochemistry and Molecular Biology)","48","129","65","142","22","108","25","80","93","145"
"53",52,"Pennsylvania State U. (Biochemistry, Microbiology and Molecular Biology)","16","54","19","92","24","100","53","100","16","44"
"54",53,"Purdue U. Main Campus (Biochemistry)","98","143","122","150","80","148","38","83","69","121"
"55",54,"Purdue U. Main Campus (Biophysics, Biochemistry, and Structural Biology)","35","94","49","119","85","143","23","65","39","72"
"56",55,"Rensselaer Polytechnic Institute (Biology)","117","149","128","153","88","148","34","87","107","147"
"57",56,"Rice U. (Biochem &amp; Cell Biology)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"58",57,"Rutgers U. at New Brunswick and U. of Medicine and Dentistry of New Jersey at Piscataway (Biochemistry)","36","100","27","101","63","125","9","23","27","75"
"59",58,"Southern Illinois U. at Carbondale (Molecular Biology, Microbiology &amp; Biochemistry)","81","142","119","153","3","56","26","78","100","155"
"60",59,"Southern Methodist U. (Biological Sciences)","114","154","70","139","101","153","49","107","107","150"
"61",60,"Stanford U. (Biochemistry)","5","29","5","37","80","149","100","137","6","13"
"62",61,"Stanford U. (Biophysics)","1","12","1","17","17","108","136","152","2","8"
"63",62,"Stanford U. (Molecular and Cellular Physiology)","2","29","1","23","2","153","18","61","15","38"
"64",63,"State U. of New York Health Science Center at Brooklyn (Molecular &amp; Cellular Biology)","134","154","149","157","9","72","31","76","84","149"
"65",64,"State U. of New York Upstate Medical U. (Biochemistry &amp; Molecular Biology)","90","148","72","145","63","136","80","125","87","137"
"66",65,"Temple U. (Biochemistry)","91","144","89","145","20","105","3","7","139","156"
"67",66,"Texas A&M U. (Biochemistry)","49","118","65","137","11","79","29","77","50","94"
"68",67,"Texas A&M U. (Biology)","102","149","91","149","88","146","34","75","107","148"
"69",68,"Thomas Jefferson U. (Biochemistry and Molecular Biology)","62","135","52","134","34","119","54","108","78","131"
"70",69,"Tufts U. (Biochemistry)","32","100","23","101","11","100","63","119","58","98"
"71",70,"U. at Buffalo (SUNY) (Biochemistry)","67","132","83","146","23","90","30","80","86","127"
"72",71,"U. of Alabama at Birmingham (Biochemistry and Molecular Genetics)","72","139","76","147","74","142","37","83","55","109"
"73",72,"U. of Alaska at Fairbanks (Biochemistry/Molecular Biology)","107","150","124","155","16","114","64","117","116","153"
"74",73,"U. of Arizona (Biochemistry)","39","109","41","121","65","144","20","58","81","128"
"75",74,"U. of Arizona (Molecular &amp; Cellular Biology)","48","124","57","135","11","108","47","96","69","114"
"76",75,"U. of California at Berkeley (Biophysics)","3","22","2","26","22","103","135","153","5","14"
